Running with CUDA on GPU 0	
Epoch 1.00 / 80, i = 1 / 28480, loss = 4.175188	
Epoch 1.01 / 80, i = 2 / 28480, loss = 4.029192	
Epoch 1.01 / 80, i = 3 / 28480, loss = 3.689528	
Epoch 1.01 / 80, i = 4 / 28480, loss = 3.504788	
Epoch 1.01 / 80, i = 5 / 28480, loss = 3.437677	
Epoch 1.02 / 80, i = 6 / 28480, loss = 3.392585	
Epoch 1.02 / 80, i = 7 / 28480, loss = 3.412079	
Epoch 1.02 / 80, i = 8 / 28480, loss = 3.397367	
Epoch 1.03 / 80, i = 9 / 28480, loss = 3.371049	
Epoch 1.03 / 80, i = 10 / 28480, loss = 3.404910	
Epoch 1.03 / 80, i = 11 / 28480, loss = 3.390379	
Epoch 1.03 / 80, i = 12 / 28480, loss = 3.325534	
Epoch 1.04 / 80, i = 13 / 28480, loss = 3.374687	
Epoch 1.04 / 80, i = 14 / 28480, loss = 3.348658	
Epoch 1.04 / 80, i = 15 / 28480, loss = 3.325523	
Epoch 1.04 / 80, i = 16 / 28480, loss = 3.337576	
Epoch 1.05 / 80, i = 17 / 28480, loss = 3.331621	
Epoch 1.05 / 80, i = 18 / 28480, loss = 3.321905	
Epoch 1.05 / 80, i = 19 / 28480, loss = 3.296999	
Epoch 1.06 / 80, i = 20 / 28480, loss = 3.324925	
Epoch 1.06 / 80, i = 21 / 28480, loss = 3.306720	
Epoch 1.06 / 80, i = 22 / 28480, loss = 3.396259	
Epoch 1.06 / 80, i = 23 / 28480, loss = 3.324099	
Epoch 1.07 / 80, i = 24 / 28480, loss = 3.343489	
Epoch 1.07 / 80, i = 25 / 28480, loss = 3.360559	
Epoch 1.07 / 80, i = 26 / 28480, loss = 3.296448	
Epoch 1.08 / 80, i = 27 / 28480, loss = 3.353519	
Epoch 1.08 / 80, i = 28 / 28480, loss = 3.338074	
Epoch 1.08 / 80, i = 29 / 28480, loss = 3.279255	
Epoch 1.08 / 80, i = 30 / 28480, loss = 3.332939	
Epoch 1.09 / 80, i = 31 / 28480, loss = 3.250786	
Epoch 1.09 / 80, i = 32 / 28480, loss = 3.296423	
Epoch 1.09 / 80, i = 33 / 28480, loss = 3.193973	
Epoch 1.10 / 80, i = 34 / 28480, loss = 3.252318	
Epoch 1.10 / 80, i = 35 / 28480, loss = 3.220599	
Epoch 1.10 / 80, i = 36 / 28480, loss = 3.287245	
Epoch 1.10 / 80, i = 37 / 28480, loss = 3.249858	
Epoch 1.11 / 80, i = 38 / 28480, loss = 3.243150	
Epoch 1.11 / 80, i = 39 / 28480, loss = 3.207500	
Epoch 1.11 / 80, i = 40 / 28480, loss = 3.141179	
Epoch 1.12 / 80, i = 41 / 28480, loss = 3.151215	
Epoch 1.12 / 80, i = 42 / 28480, loss = 3.160897	
Epoch 1.12 / 80, i = 43 / 28480, loss = 3.164654	
Epoch 1.12 / 80, i = 44 / 28480, loss = 3.157019	
Epoch 1.13 / 80, i = 45 / 28480, loss = 3.161806	
Epoch 1.13 / 80, i = 46 / 28480, loss = 3.105983	
Epoch 1.13 / 80, i = 47 / 28480, loss = 3.104184	
Epoch 1.13 / 80, i = 48 / 28480, loss = 3.061109	
Epoch 1.14 / 80, i = 49 / 28480, loss = 3.082478	
Epoch 1.14 / 80, i = 50 / 28480, loss = 3.035055	
Epoch 1.14 / 80, i = 51 / 28480, loss = 3.000862	
Epoch 1.15 / 80, i = 52 / 28480, loss = 2.986088	
Epoch 1.15 / 80, i = 53 / 28480, loss = 3.014403	
Epoch 1.15 / 80, i = 54 / 28480, loss = 2.963351	
Epoch 1.15 / 80, i = 55 / 28480, loss = 2.906947	
Epoch 1.16 / 80, i = 56 / 28480, loss = 2.918926	
Epoch 1.16 / 80, i = 57 / 28480, loss = 2.902268	
Epoch 1.16 / 80, i = 58 / 28480, loss = 2.941908	
Epoch 1.17 / 80, i = 59 / 28480, loss = 2.918676	
Epoch 1.17 / 80, i = 60 / 28480, loss = 2.923306	
Epoch 1.17 / 80, i = 61 / 28480, loss = 2.885283	
Epoch 1.17 / 80, i = 62 / 28480, loss = 2.863528	
Epoch 1.18 / 80, i = 63 / 28480, loss = 2.856186	
Epoch 1.18 / 80, i = 64 / 28480, loss = 2.871085	
Epoch 1.18 / 80, i = 65 / 28480, loss = 2.811095	
Epoch 1.19 / 80, i = 66 / 28480, loss = 2.836318	
Epoch 1.19 / 80, i = 67 / 28480, loss = 2.846469	
Epoch 1.19 / 80, i = 68 / 28480, loss = 2.833876	
Epoch 1.19 / 80, i = 69 / 28480, loss = 2.832869	
Epoch 1.20 / 80, i = 70 / 28480, loss = 2.829693	
Epoch 1.20 / 80, i = 71 / 28480, loss = 2.825956	
Epoch 1.20 / 80, i = 72 / 28480, loss = 2.760482	
Epoch 1.21 / 80, i = 73 / 28480, loss = 2.776017	
Epoch 1.21 / 80, i = 74 / 28480, loss = 2.763184	
Epoch 1.21 / 80, i = 75 / 28480, loss = 2.748519	
Epoch 1.21 / 80, i = 76 / 28480, loss = 2.710226	
Epoch 1.22 / 80, i = 77 / 28480, loss = 2.756972	
Epoch 1.22 / 80, i = 78 / 28480, loss = 2.686699	
Epoch 1.22 / 80, i = 79 / 28480, loss = 2.764678	
Epoch 1.22 / 80, i = 80 / 28480, loss = 2.703615	
Epoch 1.23 / 80, i = 81 / 28480, loss = 2.717369	
Epoch 1.23 / 80, i = 82 / 28480, loss = 2.710340	
Epoch 1.23 / 80, i = 83 / 28480, loss = 2.691786	
Epoch 1.24 / 80, i = 84 / 28480, loss = 2.649636	
Epoch 1.24 / 80, i = 85 / 28480, loss = 2.692974	
Epoch 1.24 / 80, i = 86 / 28480, loss = 2.673814	
Epoch 1.24 / 80, i = 87 / 28480, loss = 2.633063	
Epoch 1.25 / 80, i = 88 / 28480, loss = 2.640811	
Epoch 1.25 / 80, i = 89 / 28480, loss = 2.604994	
Epoch 1.25 / 80, i = 90 / 28480, loss = 2.603950	
Epoch 1.26 / 80, i = 91 / 28480, loss = 2.584522	
Epoch 1.26 / 80, i = 92 / 28480, loss = 2.600717	
Epoch 1.26 / 80, i = 93 / 28480, loss = 2.542064	
Epoch 1.26 / 80, i = 94 / 28480, loss = 2.554334	
Epoch 1.27 / 80, i = 95 / 28480, loss = 2.567712	
Epoch 1.27 / 80, i = 96 / 28480, loss = 2.576023	
Epoch 1.27 / 80, i = 97 / 28480, loss = 2.547342	
Epoch 1.28 / 80, i = 98 / 28480, loss = 2.489955	
Epoch 1.28 / 80, i = 99 / 28480, loss = 2.527452	
Epoch 1.28 / 80, i = 100 / 28480, loss = 2.494956	
Epoch 1.28 / 80, i = 101 / 28480, loss = 2.501516	
Epoch 1.29 / 80, i = 102 / 28480, loss = 2.487750	
Epoch 1.29 / 80, i = 103 / 28480, loss = 2.469345	
Epoch 1.29 / 80, i = 104 / 28480, loss = 2.511038	
Epoch 1.29 / 80, i = 105 / 28480, loss = 2.458027	
Epoch 1.30 / 80, i = 106 / 28480, loss = 2.511043	
Epoch 1.30 / 80, i = 107 / 28480, loss = 2.490680	
Epoch 1.30 / 80, i = 108 / 28480, loss = 2.403106	
Epoch 1.31 / 80, i = 109 / 28480, loss = 2.393369	
Epoch 1.31 / 80, i = 110 / 28480, loss = 2.453997	
