Epoch 1.00 / 50, i = 1 / 17800, loss = 4.175205
Epoch 1.01 / 50, i = 2 / 17800, loss = 4.058843
Epoch 1.01 / 50, i = 3 / 17800, loss = 3.906259
Epoch 1.01 / 50, i = 4 / 17800, loss = 3.738451
Epoch 1.01 / 50, i = 5 / 17800, loss = 3.598950
Epoch 1.02 / 50, i = 6 / 17800, loss = 3.499068
Epoch 1.02 / 50, i = 7 / 17800, loss = 3.463540
Epoch 1.02 / 50, i = 8 / 17800, loss = 3.412417
Epoch 1.03 / 50, i = 9 / 17800, loss = 3.368297
Epoch 1.03 / 50, i = 10 / 17800, loss = 3.388873
Epoch 1.03 / 50, i = 11 / 17800, loss = 3.370494
Epoch 1.03 / 50, i = 12 / 17800, loss = 3.315599
Epoch 1.04 / 50, i = 13 / 17800, loss = 3.380178
Epoch 1.04 / 50, i = 14 / 17800, loss = 3.343755
Epoch 1.04 / 50, i = 15 / 17800, loss = 3.308431
Epoch 1.04 / 50, i = 16 / 17800, loss = 3.318662
Epoch 1.05 / 50, i = 17 / 17800, loss = 3.294280
Epoch 1.05 / 50, i = 18 / 17800, loss = 3.297989
Epoch 1.05 / 50, i = 19 / 17800, loss = 3.257394
Epoch 1.06 / 50, i = 20 / 17800, loss = 3.300159
Epoch 1.06 / 50, i = 21 / 17800, loss = 3.276617
Epoch 1.06 / 50, i = 22 / 17800, loss = 3.377126
Epoch 1.06 / 50, i = 23 / 17800, loss = 3.290519
Epoch 1.07 / 50, i = 24 / 17800, loss = 3.298362
Epoch 1.07 / 50, i = 25 / 17800, loss = 3.321615
Epoch 1.07 / 50, i = 26 / 17800, loss = 3.241860
Epoch 1.08 / 50, i = 27 / 17800, loss = 3.299129
Epoch 1.08 / 50, i = 28 / 17800, loss = 3.282483
Epoch 1.08 / 50, i = 29 / 17800, loss = 3.217201
Epoch 1.08 / 50, i = 30 / 17800, loss = 3.273305
Epoch 1.09 / 50, i = 31 / 17800, loss = 3.192168
Epoch 1.09 / 50, i = 32 / 17800, loss = 3.232126
Epoch 1.09 / 50, i = 33 / 17800, loss = 3.126185
